,close,open,high,low,vol,pct_chg
2017-12-28,171.08,171.0,171.85,170.48,16.48M,0.28%
2017-12-27,170.6,170.1,170.78,169.71,21.50M,0.02%
2017-12-26,170.57,170.8,171.47,169.68,33.19M,-2.54%
2017-12-22,175.01,174.68,175.42,174.5,16.35M,0.00%
2017-12-21,175.01,174.17,176.02,174.1,20.95M,0.38%
2017-12-20,174.35,174.87,175.42,173.25,23.48M,-0.11%
2017-12-19,174.54,175.03,175.39,174.09,27.44M,-1.07%
2017-12-18,176.42,174.88,177.2,174.86,29.42M,1.41%
2017-12-15,173.97,173.63,174.17,172.46,40.17M,1.02%
2017-12-14,172.22,172.4,173.13,171.65,20.48M,-0.03%
2017-12-13,172.27,172.5,173.54,172.0,23.82M,0.33%
2017-12-12,171.7,172.15,172.39,171.46,19.41M,-0.56%
2017-12-11,172.67,169.2,172.89,168.79,35.27M,1.95%
2017-12-08,169.37,170.49,171.0,168.82,23.36M,0.03%
2017-12-07,169.32,169.03,170.44,168.91,25.67M,0.18%
2017-12-06,169.01,167.5,170.2,166.46,28.56M,-0.37%
2017-12-05,169.64,169.06,171.52,168.4,27.35M,-0.09%
2017-12-04,169.8,172.48,172.62,169.63,32.54M,-0.73%
2017-12-01,171.05,169.95,171.67,168.5,39.76M,-0.47%
2017-11-30,171.85,170.43,172.14,168.44,41.53M,1.40%
2017-11-29,169.48,172.63,172.92,167.16,41.67M,-2.07%
2017-11-28,173.07,174.3,174.87,171.86,26.43M,-0.59%
2017-11-27,174.09,175.05,175.08,173.34,20.72M,-0.50%
2017-11-24,174.97,175.1,175.5,174.65,14.03M,0.01%
2017-11-22,174.96,173.36,175.0,173.05,25.59M,1.05%
2017-11-21,173.14,170.78,173.7,170.78,25.13M,1.86%
2017-11-20,169.98,170.29,170.56,169.56,16.26M,-0.10%
2017-11-17,170.15,171.04,171.39,169.64,21.90M,-0.56%
2017-11-16,171.1,171.18,171.87,170.3,23.64M,1.19%
2017-11-15,169.08,169.97,170.32,168.38,29.16M,-1.32%
2017-11-14,171.34,173.04,173.48,171.18,24.78M,-1.51%
2017-11-13,173.97,173.5,174.5,173.4,16.98M,-0.40%
