Day,Date,Open,High,Low,Close,Volume
Fri,7/13/18,72.12,72.65,72.08,72.53,18806232
Thu,7/12/18,71.85,72.23,71.41,72.15,12919932
Wed,7/11/18,71.88,71.89,71.16,71.32,14447605
Tue,7/10/18,72.31,72.67,72.12,72.51,10047089
Mon,7/9/18,71.28,72.3,71.2,72.28,13253823
Fri,7/6/18,70.66,71.17,70.24,70.96,9922105
Thu,7/5/18,70.62,70.77,70.04,70.72,8608509
Tue,7/3/18,70.87,71.2,70.19,70.37,7202803
Mon,7/2/18,69.89,70.61,69.71,70.6,14336490
Fri,6/29/18,70.59,71.23,70.41,70.44,15159423
Thu,6/28/18,70.06,70.61,69.64,70.29,15588401
Wed,6/27/18,71.05,71.8,70.17,70.2,20188264
Tue,6/26/18,70.82,71.12,70.61,70.77,11543318
Mon,6/25/18,70.85,71.02,70.04,70.5,23481014
Fri,6/22/18,71.66,71.87,71.33,71.41,13887714
Thu,6/21/18,71.8,71.93,70.91,71.16,15759229
Wed,6/20/18,72.26,72.3,71.81,72.06,12177921
Tue,6/19/18,72.72,72.77,71.74,72.02,18258232
Mon,6/18/18,73.31,73.7,73.11,73.57,8470815
Fri,6/15/18,73.57,74.01,73.06,73.87,15006326
Thu,6/14/18,74.58,74.78,73.86,74.06,10721372
Wed,6/13/18,74.97,75.02,74.29,74.34,8732815
Tue,6/12/18,75.14,75.21,74.75,74.94,5924301
Mon,6/11/18,74.88,75.24,74.78,75.02,5334670
Fri,6/8/18,74.52,74.97,74.36,74.87,6695202
Thu,6/7/18,74.49,74.73,74.16,74.63,10160829
Wed,6/6/18,73.86,74.39,73.63,74.31,6893259
Tue,6/5/18,73.61,73.84,73.38,73.7,8071642
Mon,6/4/18,73.96,74.29,73.5,73.61,8972703
Fri,6/1/18,73.33,73.84,73.29,73.72,9920558
Thu,5/31/18,73.83,73.88,72.69,72.91,14412645
Wed,5/30/18,73.43,74.05,73.19,73.98,11671081
Tue,5/29/18,73.52,73.71,72.61,72.95,18857140
Fri,5/25/18,74.13,74.38,73.92,74.14,8281667
Thu,5/24/18,73.73,74.38,73.64,74.27,9567987
Wed,5/23/18,73.53,73.91,73.24,73.91,13179300
Tue,5/22/18,75.03,75.11,73.95,73.98,8938171
Mon,5/21/18,74.54,75.23,74.44,74.9,14031843
Fri,5/18/18,73.35,73.92,73.32,73.79,7639618
Thu,5/17/18,73.04,73.67,72.99,73.35,7676939
Wed,5/16/18,72.8,73.31,72.72,73.07,6412934
Tue,5/15/18,72.66,72.86,72.49,72.81,10393652
Mon,5/14/18,73.35,73.6,72.89,73.05,5979242
Fri,5/11/18,73.12,73.49,72.98,73.18,8228805
Thu,5/10/18,72.81,73.18,72.68,73.02,7364777
Wed,5/9/18,71.98,72.77,71.9,72.53,15286905
Tue,5/8/18,71.21,71.86,71.06,71.76,10558133
Mon,5/7/18,71.01,71.45,70.92,71.25,12059949
Fri,5/4/18,69.45,71.01,69.37,70.78,11940347
Thu,5/3/18,69.46,70.33,68.59,69.96,26367344
Wed,5/2/18,70.14,71.49,69.72,69.8,15099012
Tue,5/1/18,70.63,70.66,69.34,70.42,22286578
Mon,4/30/18,71.88,72.02,70.73,70.74,16199787
Fri,4/27/18,71.5,71.83,71.23,71.69,11797758
Thu,4/26/18,72.02,72.21,71.19,71.84,20373222
Wed,4/25/18,71.97,72.33,70.99,72.1,15262402
Tue,4/24/18,74.33,74.48,70.99,71.89,21546732
Mon,4/23/18,74.33,74.35,73.61,73.96,14729896
Fri,4/20/18,74.69,74.78,73.79,74.05,11855918
Thu,4/19/18,74.48,74.68,73.87,74.37,12777447
Wed,4/18/18,74.29,74.84,74.18,74.58,10350468
Tue,4/17/18,73.77,74.12,73.56,73.81,8858498
Mon,4/16/18,73,73.42,72.88,73.2,8405071
Fri,4/13/18,73.14,73.18,72.12,72.47,10111511
Thu,4/12/18,72.1,72.94,72.05,72.65,9108340
Wed,4/11/18,71.5,72.19,71.49,71.62,10856573
Tue,4/10/18,72.13,72.57,71.64,72.15,18882624
Mon,4/9/18,71.68,72.21,70.94,71.06,10494433
Fri,4/6/18,72.58,73.02,70.63,71.28,18737652
Thu,4/5/18,72.97,73.48,72.76,73.31,16841468
Wed,4/4/18,70.71,72.65,70.53,72.57,20406100
Tue,4/3/18,71.63,72.31,71.14,72.26,20570990
Mon,4/2/18,72.55,72.68,70.31,71.27,28074616
Thu,3/29/18,72.1,73.31,71.99,72.77,14351397
Wed,3/28/18,72.21,72.3,71.15,71.72,22350752
Tue,3/27/18,73.31,73.71,71.54,71.96,15034361
Mon,3/26/18,72.43,73.07,71.63,72.97,12452349
Fri,3/23/18,72.41,72.97,71.19,71.25,15780705
Thu,3/22/18,74.03,74.28,72.21,72.31,19187400
Wed,3/21/18,74.7,75.54,74.46,74.77,14108099
Tue,3/20/18,74.58,75.13,74.53,74.69,7260662
Mon,3/19/18,74.79,74.82,73.82,74.43,11072762
Fri,3/16/18,74.53,75.27,74.53,75.01,11066957
Thu,3/15/18,74.63,75.04,74.13,74.61,8572538
Wed,3/14/18,75.64,75.64,74.18,74.4,11917518
Tue,3/13/18,75.8,76.19,75.07,75.22,11807385
Mon,3/12/18,76.66,76.66,75.37,75.59,11371585
Fri,3/9/18,75.38,76.53,75.15,76.53,13420712
Thu,3/8/18,74.81,74.95,74.16,74.88,11120916
Wed,3/7/18,73.59,74.66,73.4,74.49,13966834
Tue,3/6/18,74.56,74.7,73.94,74.5,19000752
Mon,3/5/18,72.83,74.36,72.56,74.17,23615656
Fri,3/2/18,72.68,73.51,72.17,73.29,27754840
Thu,3/1/18,74.81,75.35,72.92,73.31,36440160
Wed,2/28/18,76.25,76.35,74.78,74.78,16609918
Tue,2/27/18,76.85,77.34,75.85,75.86,11295443
Mon,2/26/18,76.14,76.95,75.87,76.82,8839420
Fri,2/23/18,75.51,75.82,75.09,75.78,6768731
Thu,2/22/18,74.99,75.84,74.92,75.16,10809426
Wed,2/21/18,74.72,76.02,74.64,74.66,8867261
Tue,2/20/18,75.05,75.39,74.38,74.64,12135523
Fri,2/16/18,75.21,76.16,75.15,75.4,11441377
Thu,2/15/18,74.84,75.38,74.21,75.38,11071024
Wed,2/14/18,72.97,74.35,72.89,74.26,13820669
Tue,2/13/18,72.76,73.53,72.67,73.33,13299747
Mon,2/12/18,72.59,73.69,72.1,73.17,21297522
Fri,2/9/18,72.06,72.61,69.74,72.01,41373848
Thu,2/8/18,74.18,74.3,71.2,71.24,27965760
Wed,2/7/18,73.9,75.26,73.64,74.09,23234800
Tue,2/6/18,71.26,74.17,70.86,73.96,32781972
Mon,2/5/18,75.28,76.26,72.14,72.63,31068532
Fri,2/2/18,77.18,77.31,76.07,76.08,18378792
Thu,2/1/18,77.28,78.31,77.18,77.64,14524344
Wed,1/31/18,78.26,78.55,77.53,77.78,16392601
Tue,1/30/18,77.64,77.91,77.19,77.55,17161968
Mon,1/29/18,78.55,78.98,78.13,78.16,13192790
Fri,1/26/18,78.02,78.69,77.76,78.69,8208948
Thu,1/25/18,77.91,78.02,77.14,77.79,12812362
Wed,1/24/18,77.76,78.12,77.23,77.71,9902086
Tue,1/23/18,77.73,77.86,77.41,77.78,9178136
Mon,1/22/18,77.53,77.76,77.17,77.74,12480394
Fri,1/19/18,77.83,77.84,77.39,77.74,8874650
Thu,1/18/18,77.94,78.16,77.45,77.52,7985575
Wed,1/17/18,77.64,78.01,77.4,77.94,8010093
Tue,1/16/18,78.5,78.63,77.16,77.51,13678112
Fri,1/12/18,77.84,78.28,77.7,78.21,7622549
Thu,1/11/18,76.85,77.52,76.66,77.49,9685030
Wed,1/10/18,76.38,76.76,76.15,76.51,11961948
Tue,1/9/18,76.13,76.72,76.1,76.52,9192387
Mon,1/8/18,75.8,76.08,75.7,76.03,5870980
Fri,1/5/18,75.57,75.76,75.15,75.72,17422102
Thu,1/4/18,74.98,75.26,74.84,75.21,16895980
Wed,1/3/18,74.38,74.71,74.2,74.66,18609936
Tue,1/2/18,74.06,74.27,73.72,74.26,15277346
Fri,12/29/17,74.11,74.14,73.75,73.82,4946845
Thu,12/28/17,74.02,74.03,73.68,73.96,4745641
Wed,12/27/17,73.69,73.84,73.6,73.81,4848827
Tue,12/26/17,73.64,73.88,73.48,73.63,5108828
Fri,12/22/17,73.69,73.69,73.36,73.56,3824007
Thu,12/21/17,73.75,73.82,73.36,73.54,9693388
Wed,12/20/17,73.64,73.73,73.37,73.48,5923747
Tue,12/19/17,73.44,73.57,73.04,73.24,6367215
Mon,12/18/17,73.08,73.3,73.02,73.22,6168082
Fri,12/15/17,72.62,72.88,72.22,72.7,9158841
Thu,12/14/17,72.99,72.99,72.18,72.19,9496462
Wed,12/13/17,72.59,73.07,72.28,72.68,8890794
Tue,12/12/17,72.45,72.6,72.33,72.4,9543261
Mon,12/11/17,72.53,72.61,72.2,72.33,6092645
Fri,12/8/17,72.53,72.53,72.17,72.47,7012847
Thu,12/7/17,71.41,72.32,71.39,72.16,11253061
Wed,12/6/17,71.26,71.76,71.18,71.5,16046046
Tue,12/5/17,72.13,72.33,71.34,71.39,17055016
Mon,12/4/17,72.15,72.87,72,72,19866670
Fri,12/1/17,72.17,72.28,70.6,71.4,30603036
Thu,11/30/17,71.33,72.44,71.12,72.3,20275140
Wed,11/29/17,70.48,71.12,70.34,71.08,12773021
Tue,11/28/17,69.56,70.46,69.48,70.46,10373541
Mon,11/27/17,69.46,69.49,69.28,69.4,4884427
Fri,11/24/17,69.46,69.47,69.25,69.29,3491229
Wed,11/22/17,69.26,69.5,69.18,69.29,7252942
Tue,11/21/17,68.94,69.22,68.77,69.21,7614164
Mon,11/20/17,68.47,68.8,68.41,68.72,6684262
Fri,11/17/17,68.54,68.65,68.36,68.41,7982233
Thu,11/16/17,68.45,68.87,68.34,68.78,6223826
Wed,11/15/17,68.21,68.37,67.96,68.14,10995947
Tue,11/14/17,68.53,68.63,68.32,68.53,7278356
Mon,11/13/17,68.74,68.89,68.53,68.72,5417821
Fri,11/10/17,68.71,69.04,68.59,68.95,5508516
Thu,11/9/17,69.35,69.41,68.57,68.85,10761713
Wed,11/8/17,69.74,69.81,69.59,69.72,5794899
Tue,11/7/17,69.73,69.95,69.71,69.84,5339722
Mon,11/6/17,69.74,69.86,69.64,69.73,7353033
Fri,11/3/17,69.75,69.83,69.52,69.7,7188571
Thu,11/2/17,69.33,69.8,69.16,69.76,7136375
Wed,11/1/17,69.62,69.78,69.33,69.37,9383591
Tue,10/31/17,69.75,69.94,69.38,69.4,9062579
Mon,10/30/17,70.01,70.06,69.63,69.69,9360248
Fri,10/27/17,70.04,70.37,70.01,70.17,7764903
Thu,10/26/17,70.28,70.47,69.99,70.14,8578125
Wed,10/25/17,70.7,70.7,69.7,70.04,11418030
Tue,10/24/17,70.7,71.03,70.66,70.74,8164493
Mon,10/23/17,70.78,70.79,70.33,70.35,7008824
Fri,10/20/17,70.05,70.79,69.87,70.79,9320323
Thu,10/19/17,69.56,70.04,69.43,70.04,7175754
Wed,10/18/17,69.86,70.04,69.75,69.84,8129272
Tue,10/17/17,69.8,69.91,69.67,69.81,5396311
Mon,10/16/17,69.98,70.04,69.78,70,7436643
Fri,10/13/17,70.34,70.46,69.86,69.92,5935392
Thu,10/12/17,69.57,70.12,69.56,70.04,12483024
Wed,10/11/17,69.63,69.72,69.52,69.68,7517796
Tue,10/10/17,70.03,70.04,69.59,69.72,6456085
Mon,10/9/17,69.83,69.97,69.5,69.61,8053266
Fri,10/6/17,69.71,69.88,69.53,69.8,4581494
Thu,10/5/17,69.61,69.88,69.48,69.81,15522557
Wed,10/4/17,69.65,69.76,69.52,69.65,15224849
Tue,10/3/17,69.4,69.67,69.31,69.67,12154568
Mon,10/2/17,68.86,69.37,68.75,69.37,17278044
Fri,9/29/17,68.65,68.9,68.52,68.89,6727043
Thu,9/28/17,68.63,68.74,68.41,68.69,6312096
